Domain,Location on Site,Company,Vertical,Quantcast,Alexa,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed
gawker.com,gawker.com,Gawker Media,,112,1033,"ph:+1-212-467-3320;+1-646-470-4295","features@gawker.com;leah.beckmann@gawker.com;hamilton@gawker.com;jason.parham@gawker.com;taylor@gawker.com;gabrielle@gawker.com;andy@gawker.com;shop@gawker.com;remy@gawker.com;michelle.dean@gawker.com;richardl@gawker.com;maggie@gawker.com;pride@gawker.com;cord@gawker.com;gabriel@gawker.com;advertising@gawker.com;ajd@gawker.com;executions@gawker.com;asktionna@gawker.com;jordan@gawker.com",twitter.com/gawker,facebook.com/gawker,,,,,,,,,"Ferenc Tóth - Software - ferenc@gawker.com; Mikolaj Szabó - Engineering - mikolaj@gawker.com; Scott Kidder - Csuite - scott@gawker.com; Erin Pettigrew - Csuite - erin@gawker.com",New York City,NY,10012,US,2015-06-10,2015-12-26,2011-09-11,2015-12-27
gizmodo.com,gizmodo.com,Gizmodo,,123,473,"ph:+1-212-655-9524;+1-832-449-8477","tipbox@gizmodo.com;annalee.newitz@gizmodo.com;meg@gizmodo.com;kelsey@gizmodo.com;sean.hollister@gizmodo.com",twitter.com/gizmodo,facebook.com/gizmodo,,,,,,,,,"Carlos Zahumenszky - Unknown - czahumenszky@gizmodo.com; soko hirayama - Unknown - shirayama@gizmodo.com; Campbell Simpson - Unknown - csimpson@gizmodo.com; Lillian Rogers - Unknown - lrogers@gizmodo.com",New York City,NY,10012,US,2015-06-14,2015-12-27,2011-01-03,2015-12-27
lifehacker.com,lifehacker.com,,Technology And Computing,133,438,"ph:+1-212-655-9524","submissions@lifehacker.com;whitson@lifehacker.com;alan@lifehacker.com;thorin@lifehacker.com;eric@lifehacker.com",twitter.com/lifehacker,facebook.com/lifehacker,,google.com/+lifehacker,,,,,,,"Jim Cooke - Director - jim@lifehacker.com",New York City,NY,10012,US,2015-06-11,2015-12-10,2011-01-03,2015-12-27
distractify.com,distractify.com,Distractify,,148,1557,"ph:","",twitter.com/distractify,facebook.com/distractify,,,,,,,,,"Matt Orr - Unknown - noemail; Kit Bowen - Unknown - noemail; Laura Cunha - Unknown - noemail",,,,,2014-05-21,2015-12-27,2013-06-14,2015-12-27
radaronline.com,radaronline.com,Radar Online LLC,,163,2204,"ph:+1-212-413-6142;+1-800-633-3600","privacypolicy@radaronline.com;ldimattina@radaronline.com;spencer@radaronline.com;tips@radaronline.com;lornstein@radaronline.com;jvituscka@radaronline.com;more@radaronline.com;jgarcia@radaronline.com;ccechin@radaronline.com;nfitzsimmons@radaronline.com;mpage@radaronline.com;jheger@radaronline.com;nwoulfe@radaronline.com;munster@radaronline.com;tgray@radaronline.com;currentsubscriber@radaronline.com;kvereb@radaronline.com;atereszck@radaronline.com;bust@radaronline.com;dfairall@radaronline.com",twitter.com/radar_online,facebook.com/radaronline,,,pinterest.com/radaronline,,instagram.com/radargram,,,,"",New York City,NY,10004,US,2015-08-19,2015-12-16,2011-01-03,2015-12-16
wallstcheatsheet.com,wallstcheatsheet.com,The Cheat Sheet,,164,,"ph:","",,,,,,,,,,,"Glenda Bucy - Manager - noemail; Hunter Lott - Manager - noemail",,,,,2015-11-04,2015-12-27,2011-01-03,2015-12-27
foodnetwork.com,foodnetwork.com,Scripps Networks Interactive Inc,Food And Drink,266,463,"ph:+1-212-450-2528;+1-949-224-1810","app-foodnetworkinthekitchen@foodnetwork.com;fndish@foodnetwork.com;thanksgivinglive@foodnetwork.com;lsklar@foodnetwork.com;beontv@foodnetwork.com;askaida@foodnetwork.com;tours@foodnetwork.com;askmelissa@foodnetwork.com;duff@foodnetwork.com;shyman@foodnetwork.com;cwelch@foodnetwork.com;islavin@foodnetwork.com;dmclaughlin@foodnetwork.com;cora@foodnetwork.com;cfisher@foodnetwork.com;jchudow@foodnetwork.com;lmueller@foodnetwork.com;jmilder@foodnetwork.com;ntact@foodnetwork.com;cannibalchef@foodnetwork.com",twitter.com/foodnetwork,facebook.com/foodnetwork,,google.com/+foodnetwork,pinterest.com/foodnetwork,,instagram.com/foodnetwork#,,,,"Catherine Smith - Analyst - csmith@foodnetwork.com; Chris Turley - Analyst - cturley@foodnetwork.com; Craig Alexander - Designer - calexander@foodnetwork.com; Yonas Hassen - Software - yhassen@foodnetwork.com; Mark McIntyre - Engineering - mmcintyre@foodnetwork.com; Brian Jacobus - Engineering - bjacobus@foodnetwork.com; Sarah Arestia - Marketing - sarestia@foodnetwork.com; Evan Cobb - Sales - ecobb@foodnetwork.com; Freyja Balmer - Director - fbalmer@foodnetwork.com; Heather Jagels - President - hjagels@foodnetwork.com",New York City,NY,10036,US,2015-06-20,2015-12-10,2011-01-03,2015-12-26
washingtontimes.com,washingtontimes.com,The Washington Times LLC,,280,3764,"ph:+1-202-636-3000;+1-800-277-8500","cdolan@washingtontimes.com;jszadkowski@washingtontimes.com;mstainer@washingtontimes.com;jbourantas@washingtontimes.com;cbryant@washingtontimes.com;sdinan@washingtontimes.com;letters@washingtontimes.com;jtaylor@washingtontimes.com;jmccaslin@washingtontimes.com;charper@washingtontimes.com;mlancaster@washingtontimes.com;insidethering@washingtontimes.com;dwattenberg@washingtontimes.com;dsands@washingtontimes.com;cwetzstein@washingtontimes.com;tlemke@washingtontimes.com;tblankley@washingtontimes.com;rohalloran@washingtontimes.com;mybarra@washingtontimes.com;jduin@washingtontimes.com",,,,google.com/+washingtontimes,,,,,,,"Paris France’s - President - pfrance’s@washingtontimes.com",Washington,DC,20002,US,2014-07-07,2015-12-10,2011-01-03,2015-12-16
rantlifestyle.com,rantlifestyle.com,rantlifestyle,,329,39286,"ph:","",,,,,,,,,,,"",,,,,2015-12-02,2015-12-16,2013-10-03,2015-12-16
dailykos.com,dailykos.com,Kos Media LLC,,381,1626,"ph:+1-514-289-2429","kos@dailykos.com;rss@dailykos.com;campaigns@dailykos.com;davidwalters@dailykos.com;advertise@dailykos.com;ss@dailykos.com;dailykos@dailykos.com;dkos@dailykos.com;armando@dailykos.com;susang@dailykos.com;markos@dailykos.com;tech_jobs@dailykos.com;paul@dailykos.com;mimi@dailykos.com;seo@dailykos.com;johnkerry@dailykos.com;tech@dailykos.com;jen@dailykos.com;stevemb@dailykos.com;teacherbyrss@dailykos.com",twitter.com/dailykos,,,,,,,,,,"Bobby Seale - Founder - seale@dailykos.com",Springville,NY,14141,US,2015-11-10,2015-12-16,2011-01-03,2015-12-26
