Domain,Location on Site,Company,Vertical,Quantcast,Alexa,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed
worldlifestyle.com,worldlifestyle.com,WorldLifestyle,,640,1379,"ph:","shareyourstory@worldlifestyle.com;press@worldlifestyle.com;info@worldlifestyle.com;legal@worldlifestyle.com",,,,,,,,,,,"Peter Zaayer - Other - peter@worldlifestyle.com",,,,,2015-03-23,2015-12-16,2013-04-28,2015-12-16
healthfitnessbeat.com,healthfitnessbeat.com,Health Fitness News,Health And Fitness,879,62659,"ph:","info@healthfitnessbeat.com",,,,,,,,,,,"",,,,,2015-01-21,2015-12-27,2014-03-19,2015-12-27
mrconservative.com,mrconservative.com,,Law  Govt And Politics,1110,37831,"ph:","",twitter.com/mrconservative_,facebook.com/conservativegroup,,,,,,,,,"Mara Kiesling - Director - noemail; David Schwarz - President - noemail",,,,,2013-05-04,2015-12-16,2011-09-11,2015-12-16
lifebuzz.com,lifebuzz.com,,Technology And Computing,1195,791,"ph:","",,facebook.com/lifebuzznews,,,,,,,,,"",,,,,2015-05-02,2015-12-27,2013-02-28,2015-12-27
popnhop.com,popnhop.com,popnhop,Technology And Computing,1225,412120,"ph:","",,,,,,,,,,,"",,,,,2014-04-02,2015-12-16,2014-03-12,2015-12-16
shebudgets.com,shebudgets.com,SheBudgets,,1727,66557,"ph:+1-781-741-4136","",twitter.com/shebudgets,facebook.com/shebudgets,,,,,,,,,"",Swampscott,MA,01907,US,2013-01-15,2015-12-16,2011-11-06,2015-12-16
investorplace.com,investorplace.com,InvestorPlace Media LLC,Finance,1962,12093,"ph:+1-301-250-2200;+1-800-255-8713","editor@investorplace.com;feedback@investorplace.com",twitter.com/investorplace#,facebook.com/investorplace,,google.com/+investorplace-media-llc,,,,,,,"",Lancaster,PA,17601,US,2014-05-21,2015-12-26,2011-01-03,2015-12-26
defund.com,defund.com,,Law  Govt And Politics,2356,322933,"ph:","",,,,,,,,,,,"",,,,,2015-03-11,2015-12-27,2014-01-02,2015-12-27
downtrend.com,downtrend.com,,Technology And Computing,2624,70133,"ph:","",twitter.com/downtrendcom,facebook.com/downtrendcom,,,,,,,,,"Brian Carey - Other - noemail",,,,,2013-09-05,2015-12-27,2013-02-28,2015-12-27
uinterview.com,uinterview.com,uInterview Inc.,Art And Entertainment,2810,495334,"ph:","publisher@uinterview.com;editor@uinterview.com",twitter.com/uinterview,facebook.com/uinterview,,,pinterest.com/uinterview,,,,,,"Erik Meers - Unknown - erik@uinterview.com; Gary Gray - Director - gary@uinterview.com",,,,,2015-07-08,2015-12-16,2011-01-03,2015-12-27
